"","seqn","ridstatr","riagendr","ridageyr","ridreth1","ridexmon","ridexagy","dmdborn4","dmdeduc3","sialang","wtint","wtmec","sdmvpsu","sdmvstra","indhhin2","indfmin2","indfmpir","dmdhhsiz","dmdfmsiz","dmdhhsza","dmdhhszb","dmdhhszf","dmdhrgnd","dmdhrage","dmdhrbr4","dmdhredu","dmdhrmar"
"610",72526,2,2,5,4,2,5,1,NA,1,17474.610153,18431.584138,10,1,15,15,5,5,5,1,2,2,1,41,1,5,1
"611",72527,2,2,7,2,2,7,1,1,2,24199.663423,23949.792511,8,1,12,6,0.96,6,5,1,2,2,2,26,2,1,6
"612",72528,2,1,3,3,1,3,1,NA,1,59387.80535,60002.940872,4,1,14,14,3.18,5,5,2,0,2,2,56,1,3,3
"613",72529,2,2,11,1,1,11,1,4,1,42586.859899,42825.121394,4,1,3,3,0.46,6,6,0,4,2,2,45,1,2,1
"614",72530,2,1,4,4,2,4,1,NA,1,27327.278423,31633.901196,12,1,2,2,0.31,3,3,2,0,2,2,26,1,4,5
"615",72531,2,2,3,2,2,3,1,NA,1,26909.41117,28693.849291,6,1,5,5,0.56,7,7,3,3,2,2,30,1,3,6
"616",72532,2,2,4,2,2,4,1,NA,2,13311.169988,14547.766581,10,1,1,1,0.02,6,6,1,1,2,1,38,2,1,1
"617",72533,2,1,12,1,1,12,1,5,1,48991.678505,48439.164516,4,1,14,14,3.47,4,4,0,2,2,2,45,1,1,1
"618",72534,2,1,14,1,1,15,1,8,1,26484.560033,25840.993342,3,1,9,9,2.71,4,4,0,3,2,2,40,1,5,3
"619",72535,2,2,14,3,2,14,1,7,1,32401.756638,32693.87174,8,1,15,15,5,6,6,0,4,2,2,48,1,5,1
"620",72536,2,1,5,4,2,6,1,NA,1,15067.161913,20306.854875,11,1,6,6,0.97,6,6,3,1,2,1,27,1,3,5
"621",72537,2,1,10,1,1,10,1,4,2,32079.425024,32893.603587,2,1,4,4,0.56,5,5,0,3,2,2,39,2,1,5
"622",72538,2,2,5,3,2,6,1,NA,1,49511.148299,48836.246414,8,1,9,9,2.69,4,4,1,2,2,2,45,1,5,4
"623",72539,2,1,4,4,1,4,2,NA,1,31462.066322,42403.182402,15,1,5,5,0.63,7,7,2,3,2,1,36,2,4,1
"624",72540,2,1,12,3,1,12,1,5,1,26815.815498,28252.590384,1,1,3,3,0.69,2,2,0,1,2,2,40,1,1,77
"625",72541,2,2,4,3,1,4,1,NA,1,102096.125254,103557.533602,4,1,7,7,1.52,4,4,2,0,2,1,36,1,4,6
"626",72542,2,2,7,3,2,7,1,1,1,38290.064711,39549.441119,13,1,6,1,0.18,3,1,1,1,2,1,34,1,3,3
"627",72543,2,1,12,4,2,13,1,6,1,16555.646491,17215.634302,10,1,10,10,4.3,2,2,0,1,2,2,47,1,5,5
"628",72544,2,2,10,4,2,10,1,4,1,13153.346383,14250.177331,10,1,15,15,5,2,2,0,1,2,2,54,1,4,5
"629",72545,2,1,10,3,1,10,1,4,1,64806.257223,66949.382599,5,1,14,14,4.45,3,3,0,1,2,1,48,1,2,1
"630",72546,2,2,3,1,1,3,1,NA,2,32347.964347,34556.100787,2,1,1,1,0,5,4,1,2,2,2,36,2,1,5
"631",72547,2,2,3,5,2,3,1,NA,1,16943.167992,17249.250533,11,1,99,99,NA,6,6,1,2,2,2,34,2,4,1
"632",72548,2,1,14,3,2,14,1,7,1,36851.674629,38873.191468,6,1,15,15,5,4,4,0,2,2,1,47,1,4,1
"633",72549,2,1,15,5,1,15,1,9,1,33055.844715,34826.956526,3,1,3,3,0.48,5,5,0,2,2,1,47,2,3,1
"634",72550,2,1,5,1,1,5,1,NA,2,33125.648875,33209.47866,2,1,3,3,0.39,6,6,2,2,2,1,45,2,1,6
"635",72551,2,1,10,2,2,10,1,4,2,10000.450686,10677.411204,11,1,5,5,1.15,3,3,0,1,2,1,37,2,9,1
"636",72552,2,2,5,4,1,5,1,NA,1,29126.503511,30608.380076,3,1,7,7,2.31,2,2,1,0,2,2,34,1,4,3
"637",72553,2,1,11,2,2,11,2,3,2,25877.946238,26532.924037,6,1,5,5,0.77,6,6,0,2,1,2,67,2,1,2
"638",72554,2,2,5,1,2,5,1,NA,2,10517.773305,11494.865675,11,1,5,5,0.74,5,5,2,1,2,1,34,1,1,1
"639",72555,2,2,7,5,2,7,1,0,1,17855.009372,18362.819349,7,1,12,12,NA,4,4,1,1,2,2,39,2,3,1
"640",72556,2,2,4,4,2,4,1,NA,1,24362.968768,25697.174631,12,1,1,1,0.06,5,5,1,2,2,1,28,1,3,1
"641",72557,2,2,3,5,1,3,1,NA,1,56823.21414,57636.584082,3,1,15,15,5,3,3,1,0,2,1,34,1,5,1
